number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,contact_type,location,category,subcategory,impact,urgency,priority,knowledge,u_priority_confirmation,notify,opened_at,caller_id,assignment_group,opened_by,priority_raw,is_high_priority,hour,day_of_week
INC0000042,Closed,False,2,0,7,True,Email,LOC_039,Software,Installation,3,1,4,True,False,2,2024-10-07 05:42:23.382619405,USER_0133,GROUP_27,USER_0014,4,0,5,0
INC0000043,Closed,False,4,1,20,False,Email,LOC_032,Network,Firewall,1,2,2,False,True,1,2023-02-17 14:16:20.018989885,USER_0262,GROUP_28,USER_0080,2,1,14,4
INC0000044,Closed,False,0,0,5,True,Email,LOC_039,Access,Account locked,2,3,5,False,False,1,2023-07-31 17:02:07.170465297,USER_0479,GROUP_24,USER_0009,5,0,17,0
INC0000045,Closed,False,0,0,6,True,Walk-in,LOC_017,Hardware,Laptop,3,3,4,True,True,2,2024-08-08 08:30:24.823186824,USER_0262,GROUP_13,USER_0043,4,0,8,3
INC0000046,Closed,False,1,0,8,True,Phone,,Security,Vulnerability,3,3,5,False,True,1,2024-11-14 10:57:06.056162356,USER_0135,,USER_0088,5,0,10,3
INC0000047,Closed,False,1,0,9,True,Self service,LOC_001,Software,Crash,2,3,4,False,True,2,2023-04-17 23:10:05.188977658,USER_0019,,USER_0012,4,0,23,0
INC0000048,Closed,False,0,0,1,True,Phone,LOC_023,Software,Crash,3,2,5,False,True,1,2024-10-02 22:02:21.539884640,USER_0161,GROUP_09,USER_0051,5,0,22,2
INC0000049,Closed,False,0,0,2,True,Walk-in,LOC_004,Software,Performance,3,2,4,True,False,2,2023-09-20 00:42:39.739532779,USER_0232,GROUP_24,USER_0061,4,0,0,2
INC0000050,Closed,False,0,0,1,True,Email,LOC_005,Network,Connectivity,1,3,3,True,False,1,2023-08-31 06:27:05.912301975,USER_0081,GROUP_19,USER_0062,3,0,6,3
INC0000051,Closed,False,1,0,5,False,Phone,LOC_018,Other,Miscellaneous,3,2,4,False,False,1,2024-10-05 13:36:58.118073471,USER_0069,GROUP_02,USER_0034,4,0,13,5
INC0000052,Active,True,1,0,5,True,Phone,,Email,Spam,3,3,5,False,True,1,2023-09-20 03:17:35.303991535,USER_0169,GROUP_15,USER_0061,5,0,3,2
INC0000053,Closed,False,2,1,11,True,Email,LOC_048,Access,VPN access,2,2,3,False,False,1,2023-05-25 03:29:56.174593145,USER_0039,GROUP_20,USER_0083,3,0,3,3
INC0000054,Resolved,False,2,0,12,True,Phone,LOC_031,Access,Permission,3,3,5,False,True,1,2024-07-11 04:13:12.080324693,USER_0432,GROUP_01,USER_0075,5,0,4,3
INC0000055,Active,False,1,0,8,True,Email,LOC_038,Database,Backup,3,1,3,False,False,1,2023-01-28 11:21:44.828280894,USER_0393,GROUP_29,USER_0003,3,0,11,5
INC0000056,Closed,False,2,0,11,True,Phone,LOC_016,Access,Account locked,3,2,3,False,True,1,2024-12-08 11:16:04.787429907,USER_0337,GROUP_29,USER_0030,3,0,11,6
INC0000057,Closed,True,1,0,5,True,Phone,LOC_012,Network,Firewall,3,2,5,False,False,1,2024-03-16 17:32:47.072118460,USER_0228,GROUP_27,USER_0029,5,0,17,5
INC0000058,Closed,False,1,0,8,True,Email,LOC_010,Network,Connectivity,2,2,3,False,False,3,2024-05-26 22:55:54.182662300,USER_0121,GROUP_21,USER_0064,3,0,22,6
INC0000059,Resolved,False,1,0,9,True,Email,LOC_019,Network,Connectivity,3,2,4,False,True,2,2023-06-30 16:11:52.256175892,USER_0471,,USER_0029,4,0,16,4
INC0000060,Closed,False,0,0,1,True,Email,LOC_026,Software,Installation,2,3,3,False,False,1,2024-02-13 07:46:49.724000363,USER_0148,GROUP_26,USER_0020,3,0,7,1
INC0000061,Closed,False,1,0,7,True,Email,LOC_032,Software,License,1,2,2,False,True,1,2023-12-07 11:05:08.012313874,USER_0365,GROUP_09,USER_0012,2,1,11,3
INC0000062,Closed,True,1,0,11,True,Email,LOC_048,Hardware,Monitor,3,2,5,False,False,2,2024-12-30 02:18:34.273707143,USER_0154,GROUP_08,USER_0026,5,0,2,0
INC0000063,Resolved,False,1,0,9,True,Email,LOC_033,Email,Attachment,3,3,5,False,False,1,2024-08-02 17:05:27.454688735,USER_0162,GROUP_07,USER_0090,5,0,17,4
INC0000064,Closed,False,1,0,10,True,Phone,LOC_050,Software,Installation,3,3,5,True,False,2,2023-11-06 12:03:21.058416785,USER_0445,GROUP_20,USER_0087,5,0,12,0
INC0000065,Closed,False,1,0,10,False,Phone,LOC_047,Hardware,Monitor,3,3,5,False,False,1,2023-09-29 12:44:03.030717294,USER_0173,GROUP_20,USER_0031,5,0,12,4
INC0000066,Closed,False,0,0,6,True,Phone,,Software,Installation,3,3,5,False,True,1,2024-12-09 05:28:22.040039662,USER_0478,GROUP_12,USER_0070,5,0,5,0
INC0000067,Closed,False,0,0,4,True,Self service,LOC_040,Network,Connectivity,2,3,4,False,False,1,2023-07-23 00:39:59.456948783,USER_0437,GROUP_21,USER_0060,4,0,0,6
INC0000068,Closed,False,6,1,27,False,Email,,Email,Attachment,3,1,2,False,True,1,2023-06-23 19:44:21.808375314,USER_0355,GROUP_23,USER_0082,2,1,19,4
INC0000069,Closed,False,0,0,4,True,Email,LOC_049,Network,DNS,2,3,4,True,False,1,2024-03-25 13:24:12.585939607,USER_0115,GROUP_01,USER_0025,4,0,13,0
INC0000070,Closed,False,0,1,4,True,Self service,LOC_037,Other,Other,3,2,4,True,False,1,2023-01-20 21:31:18.594877744,USER_0402,GROUP_09,USER_0026,4,0,21,4
INC0000071,Closed,True,0,0,3,True,Phone,LOC_041,Email,Not sending,2,3,4,True,False,1,2023-06-17 23:04:27.911414159,USER_0472,GROUP_08,USER_0037,4,0,23,5
INC0000072,Closed,False,1,0,7,True,Email,LOC_037,Network,Firewall,3,2,3,False,True,1,2024-06-25 13:06:41.285908021,USER_0279,GROUP_18,USER_0094,3,0,13,1
INC0000073,Resolved,False,5,0,18,True,Phone,LOC_026,Network,Connectivity,2,2,2,False,True,3,2024-08-07 23:18:46.389740588,USER_0308,GROUP_02,USER_0058,2,1,23,2
INC0000074,Closed,False,0,0,3,True,Self service,LOC_026,Email,Not sending,3,3,5,True,True,2,2024-02-14 20:03:55.127818760,USER_0367,GROUP_22,USER_0087,5,0,20,2
INC0000075,Closed,False,1,0,6,True,Self service,LOC_047,Email,Not receiving,3,3,5,False,True,3,2023-07-17 03:09:22.624261201,USER_0385,GROUP_20,USER_0099,5,0,3,0
INC0000076,Closed,False,2,1,12,False,Self service,LOC_032,Email,Attachment,2,1,1,False,False,1,2023-05-04 02:56:31.218199465,USER_0137,GROUP_21,USER_0041,1,1,2,3
INC0000077,Active,False,1,0,8,True,Walk-in,LOC_011,Email,Spam,3,1,3,False,True,1,2023-01-31 20:37:52.332685560,USER_0347,GROUP_10,USER_0006,3,0,20,1
INC0000078,Resolved,False,2,0,9,True,Self service,LOC_024,Network,Firewall,2,3,5,True,False,1,2024-04-06 04:34:07.212034244,USER_0319,GROUP_05,USER_0004,5,0,4,5
INC0000079,Active,False,3,0,16,True,Self service,,Software,Performance,3,1,3,False,True,2,2023-08-04 22:13:11.130631729,USER_0263,GROUP_28,USER_0096,3,0,22,4
INC0000080,Resolved,False,2,0,10,True,Phone,LOC_007,Network,VPN,3,3,4,False,False,1,2023-05-03 19:45:40.278699153,USER_0297,GROUP_15,USER_0045,4,0,19,2
INC0000081,Closed,False,0,0,3,True,Phone,LOC_004,Access,Password reset,3,3,5,False,False,2,2024-12-12 05:17:39.379800503,USER_0315,GROUP_22,USER_0020,5,0,5,3
INC0000082,Resolved,False,0,0,6,True,Chat,LOC_002,Database,Replication,3,1,3,False,False,1,2023-05-11 12:21:09.008737322,USER_0341,GROUP_21,USER_0096,3,0,12,3
INC0000083,Active,False,0,0,6,True,Walk-in,LOC_048,Software,Installation,1,2,3,False,True,1,2024-03-11 15:40:25.453673192,USER_0032,GROUP_14,USER_0056,3,0,15,0
INC0000084,Closed,False,3,0,11,False,Email,LOC_024,Network,Firewall,1,1,1,False,True,1,2023-12-03 02:14:35.448444923,USER_0113,GROUP_13,USER_0094,1,1,2,6
INC0000085,Resolved,False,0,0,2,True,Email,LOC_030,Software,Installation,3,1,3,False,True,1,2024-03-20 14:38:56.129187132,USER_0187,GROUP_03,USER_0050,3,0,14,2
INC0000086,Closed,False,0,0,1,True,Walk-in,,Software,Crash,3,3,5,False,False,1,2023-02-21 03:02:46.185023285,USER_0116,,USER_0004,5,0,3,1
INC0000087,Active,False,2,0,13,True,Phone,,Email,Attachment,3,3,5,False,False,2,2023-08-03 19:45:08.429163433,USER_0032,GROUP_12,USER_0046,5,0,19,3
INC0000088,Active,False,0,0,7,True,Phone,,Database,Connection,3,3,5,False,True,2,2024-05-07 05:14:52.195609182,USER_0055,GROUP_20,USER_0051,5,0,5,1
INC0000089,Closed,True,2,0,8,True,Email,LOC_035,Access,Password reset,3,2,4,False,False,1,2023-08-18 14:13:41.679379371,USER_0398,GROUP_18,USER_0066,4,0,14,4
INC0000090,Closed,False,1,0,6,True,Phone,,Software,Installation,3,2,5,False,False,1,2024-12-14 19:13:29.830504717,USER_0153,GROUP_01,USER_0072,5,0,19,5
INC0000091,Resolved,False,0,0,4,True,Email,LOC_028,Network,Firewall,3,2,4,False,False,1,2023-03-01 09:06:29.609450104,USER_0016,GROUP_17,USER_0050,4,0,9,2
INC0000092,Active,False,0,0,6,True,Self service,LOC_009,Email,Not sending,2,3,4,False,True,3,2023-05-20 05:58:32.897191324,USER_0423,GROUP_26,USER_0084,4,0,5,5
INC0000093,Closed,False,1,0,6,True,Phone,LOC_039,Email,Not sending,2,3,5,False,False,1,2023-05-15 23:42:41.766627945,USER_0096,GROUP_19,USER_0046,5,0,23,0
INC0000094,Closed,False,0,0,2,True,Chat,LOC_043,Database,Replication,3,3,5,True,True,3,2024-11-10 13:05:14.045664594,USER_0200,GROUP_12,USER_0034,5,0,13,6
INC0000095,Closed,False,1,0,8,True,Chat,LOC_032,Email,Not sending,3,3,5,False,False,1,2024-09-07 02:50:51.862859988,USER_0363,GROUP_21,USER_0007,5,0,2,5
INC0000096,Closed,True,1,0,6,False,Self service,LOC_006,Software,License,3,1,4,False,False,1,2023-05-08 13:38:40.170315613,USER_0182,GROUP_07,USER_0089,4,0,13,0
INC0000097,Active,False,1,1,10,True,Chat,LOC_007,Software,Crash,2,3,5,False,False,1,2024-02-22 00:37:35.457721246,USER_0246,GROUP_25,USER_0016,5,0,0,3
INC0000098,Closed,False,3,2,16,True,Email,,Software,Installation,2,2,2,False,False,1,2023-07-19 03:09:51.684144822,USER_0483,GROUP_01,USER_0090,2,1,3,2
INC0000099,Closed,False,1,0,7,True,Email,LOC_044,Network,Firewall,1,3,2,True,True,2,2023-10-27 10:33:01.833358851,USER_0111,GROUP_10,USER_0087,2,1,10,4
INC0000100,Closed,False,2,1,8,True,Self service,LOC_050,Network,Firewall,3,3,5,True,False,1,2024-08-19 05:25:19.434403916,USER_0049,GROUP_05,USER_0027,5,0,5,0
INC0000101,Closed,False,2,1,11,False,Email,LOC_047,Network,DNS,2,3,5,False,True,1,2024-05-12 05:07:22.471741412,USER_0235,GROUP_25,USER_0014,5,0,5,6
INC0000102,Resolved,False,1,0,8,False,Email,,Database,Connection,3,2,4,False,True,1,2023-03-12 12:38:54.115380580,USER_0269,,USER_0013,4,0,12,6
INC0000103,Active,False,1,0,6,False,Email,LOC_048,Software,Performance,3,3,5,False,False,3,2024-09-30 02:01:06.316485246,USER_0019,GROUP_23,USER_0056,5,0,2,0
INC0000104,Resolved,False,2,0,8,False,Self service,LOC_018,Software,Crash,3,3,5,False,True,1,2024-02-25 06:24:26.737732155,USER_0171,GROUP_25,USER_0072,5,0,6,6
INC0000105,Resolved,False,1,0,9,True,Self service,,Access,Account locked,3,3,5,False,False,1,2023-09-04 03:24:12.622256899,USER_0460,GROUP_23,USER_0051,5,0,3,0
INC0000106,Closed,True,0,0,8,False,Self service,,Hardware,Laptop,3,3,5,True,False,1,2024-10-24 00:24:45.118174697,USER_0012,GROUP_20,USER_0063,5,0,0,3
INC0000107,Closed,False,0,0,4,True,Self service,LOC_045,Software,Crash,3,3,5,False,False,2,2023-05-01 09:42:21.779948967,USER_0293,GROUP_04,USER_0048,5,0,9,0
INC0000108,Resolved,False,0,0,4,True,Self service,LOC_010,Email,Attachment,3,1,3,False,True,1,2024-08-18 04:09:13.686751003,USER_0324,GROUP_23,USER_0052,3,0,4,6
INC0000109,Closed,True,0,1,8,True,Email,LOC_040,Hardware,Server,3,2,4,True,True,3,2023-01-08 03:52:37.955040858,USER_0449,GROUP_09,USER_0077,4,0,3,6
INC0000110,Closed,True,0,0,9,True,Phone,LOC_047,Network,Connectivity,3,2,5,False,False,1,2024-11-14 18:30:38.502661084,USER_0484,GROUP_10,USER_0001,5,0,18,3
INC0000111,Closed,False,0,0,4,True,Self service,LOC_017,Hardware,Monitor,3,3,5,False,False,2,2023-04-25 10:02:10.585896470,USER_0178,GROUP_12,USER_0091,5,0,10,1
INC0000112,Closed,False,1,0,8,True,Phone,LOC_035,Network,VPN,2,2,3,False,True,3,2023-01-15 00:30:37.370776936,USER_0058,GROUP_18,USER_0078,3,0,0,6
INC0000113,Active,False,1,0,8,True,Chat,LOC_047,Access,Permission,3,2,4,True,False,1,2023-11-16 13:38:15.239352777,USER_0123,GROUP_11,USER_0075,4,0,13,3
INC0000114,Closed,False,0,0,0,True,Self service,LOC_013,Email,Not receiving,3,3,4,True,True,2,2023-09-14 18:33:13.348565056,USER_0409,GROUP_03,USER_0008,4,0,18,3
INC0000115,Closed,False,0,0,2,True,Self service,LOC_034,Database,Replication,3,3,5,False,False,1,2024-11-29 07:41:27.747693675,USER_0225,GROUP_20,USER_0098,5,0,7,4
INC0000116,Resolved,False,0,0,4,True,Chat,LOC_036,Access,VPN access,3,3,4,False,False,1,2024-06-16 09:23:21.973252653,USER_0113,,USER_0038,4,0,9,6
INC0000117,Closed,False,1,1,11,False,Email,LOC_045,Email,Spam,2,3,5,False,True,2,2023-04-29 01:52:18.015364585,USER_0282,GROUP_16,USER_0058,5,0,1,5
INC0000118,Resolved,False,1,0,7,True,Phone,LOC_002,Network,Connectivity,2,2,2,False,False,1,2023-01-31 03:48:40.193591098,USER_0117,GROUP_17,USER_0015,2,1,3,1
INC0000119,Closed,False,0,0,2,True,Email,LOC_010,Access,Account locked,3,3,4,True,False,1,2024-09-13 19:43:40.759333935,USER_0213,GROUP_10,USER_0042,4,0,19,4
INC0000120,Closed,False,1,0,3,True,Phone,,Software,Crash,3,3,5,True,False,3,2024-12-29 04:00:17.158931129,USER_0433,GROUP_11,USER_0067,5,0,4,6
INC0000121,Closed,False,0,0,3,True,Email,LOC_050,Email,Spam,1,3,3,False,False,1,2024-12-21 07:10:39.308783969,USER_0396,GROUP_01,USER_0034,3,0,7,5
INC0000122,Closed,True,1,0,8,True,Email,LOC_029,Access,VPN access,3,2,5,False,False,1,2023-02-19 19:57:03.009943864,USER_0212,GROUP_06,USER_0010,5,0,19,6
INC0000123,Closed,True,0,0,4,True,Self service,LOC_045,Software,License,1,3,3,False,False,3,2024-09-27 22:28:31.905579510,USER_0264,GROUP_20,USER_0066,3,0,22,4
INC0000124,Resolved,False,0,0,4,True,Email,LOC_038,Network,DNS,2,3,4,False,False,1,2024-05-07 02:18:59.250070284,USER_0429,GROUP_20,USER_0052,4,0,2,1
INC0000125,Closed,False,0,1,4,False,Email,LOC_016,Hardware,Laptop,3,2,4,False,False,2,2024-09-09 23:02:12.374225129,USER_0052,GROUP_09,USER_0031,4,0,23,0
INC0000126,Resolved,False,0,1,5,True,Phone,LOC_014,Software,Crash,3,3,5,True,False,2,2023-02-05 10:06:22.936145844,USER_0316,GROUP_24,USER_0087,5,0,10,6
INC0000127,Closed,True,0,3,13,True,Email,,Email,Spam,3,1,3,False,False,3,2024-10-09 19:52:51.611509110,USER_0265,GROUP_12,USER_0078,3,0,19,2
INC0000128,Closed,False,2,0,10,True,Phone,,Access,Password reset,3,1,4,False,False,1,2023-10-12 14:37:48.573887849,USER_0477,GROUP_17,USER_0016,4,0,14,3
INC0000129,Closed,False,0,0,3,True,Phone,LOC_027,Network,DNS,3,2,4,False,False,1,2024-07-06 10:50:05.412733764,USER_0121,GROUP_09,USER_0062,4,0,10,5
INC0000130,Closed,False,0,0,5,True,Self service,LOC_005,Software,Performance,3,3,5,False,False,1,2023-02-28 18:30:36.945435233,USER_0313,GROUP_05,USER_0055,5,0,18,1
INC0000131,Resolved,False,2,0,7,True,Phone,LOC_017,Software,Performance,2,3,3,False,False,2,2023-08-03 05:35:18.201213488,USER_0105,GROUP_06,USER_0009,3,0,5,3
INC0000132,Closed,False,1,0,8,True,Phone,,Hardware,Printer,3,2,4,False,False,1,2023-11-25 10:25:35.005950817,USER_0130,GROUP_14,USER_0026,4,0,10,5
INC0000133,Closed,False,0,0,3,True,Phone,LOC_048,Network,DNS,3,2,4,False,False,1,2023-03-21 15:01:29.693430773,USER_0260,GROUP_25,USER_0088,4,0,15,1
INC0000134,Closed,False,0,0,3,True,Email,LOC_034,Software,Crash,3,2,5,False,False,1,2023-10-07 20:09:06.324000390,USER_0409,GROUP_06,USER_0009,5,0,20,5
INC0000135,Active,False,1,0,8,True,Self service,LOC_016,Access,Account locked,1,3,3,False,False,1,2024-03-02 09:34:13.976663569,USER_0038,GROUP_16,USER_0054,3,0,9,5
INC0000136,Resolved,True,1,0,5,True,Chat,LOC_042,Software,Crash,3,2,4,False,False,2,2023-04-04 03:54:34.542129393,USER_0460,GROUP_21,USER_0022,4,0,3,1
INC0000137,Active,False,1,1,8,True,Self service,LOC_034,Software,Crash,1,3,4,False,True,1,2024-10-15 22:54:15.042361714,USER_0056,,USER_0047,4,0,22,1
INC0000138,Resolved,False,2,0,15,True,Email,LOC_021,Email,Attachment,3,3,5,False,False,2,2024-07-25 08:53:21.491542976,USER_0261,GROUP_17,USER_0050,5,0,8,3
INC0000139,Closed,False,1,0,7,True,Phone,,Software,Crash,3,3,4,True,True,1,2024-02-26 23:25:04.663492709,USER_0305,GROUP_23,USER_0007,4,0,23,0
INC0000140,Resolved,False,2,0,12,True,Phone,LOC_027,Other,General,3,3,5,False,False,2,2024-03-23 01:52:03.319480267,USER_0485,GROUP_18,USER_0098,5,0,1,5
INC0000141,Closed,False,0,0,1,True,Email,LOC_017,Other,Other,3,2,4,True,False,1,2023-10-05 04:07:35.539231030,USER_0492,GROUP_27,USER_0020,4,0,4,3
INC0000142,Active,False,0,0,3,False,Email,LOC_034,Hardware,Server,3,3,5,False,False,3,2024-08-08 12:43:30.120829530,USER_0012,GROUP_18,USER_0032,5,0,12,3
INC0000143,Closed,False,0,0,2,False,Self service,,Software,Performance,3,2,4,False,False,2,2024-11-13 04:18:54.486161148,USER_0419,GROUP_28,USER_0090,4,0,4,2
INC0000144,Closed,False,7,0,23,False,Phone,LOC_045,Software,Performance,1,2,1,True,True,2,2024-07-05 06:56:02.097936891,USER_0215,GROUP_22,USER_0069,1,1,6,4
INC0000145,Resolved,False,1,0,6,True,Phone,LOC_015,Hardware,Laptop,3,3,4,False,True,1,2023-08-14 05:54:55.596394772,USER_0110,GROUP_03,USER_0063,4,0,5,0
INC0000146,Closed,False,0,0,2,True,Phone,,Network,Firewall,3,3,4,False,True,3,2023-10-13 18:43:02.840737982,USER_0207,GROUP_03,USER_0049,4,0,18,4
INC0000147,Closed,True,0,0,5,True,Self service,,Database,Connection,3,3,5,False,False,3,2024-03-26 19:23:52.854935972,USER_0171,GROUP_28,USER_0056,5,0,19,1
INC0000148,Active,True,3,0,13,True,Phone,LOC_028,Software,Crash,1,1,1,False,True,1,2023-03-13 23:42:20.069625658,USER_0016,GROUP_06,USER_0059,1,1,23,0
INC0000149,Closed,True,1,0,10,True,Email,LOC_016,Network,DNS,1,3,4,False,False,1,2024-09-05 06:24:27.017273228,USER_0170,GROUP_08,USER_0057,4,0,6,3
