reassignment_count,reopen_count,contact_type,location,category,subcategory,impact,urgency,notify,assignment_group,hour,day_of_week,is_business_hours,is_weekend,is_night,quarter,impact_urgency_score,escalation_risk
0,0,3,LOC_009,2,27,1,3,1,GROUP_25,22,0,0,0,1,2,4,0
1,0,2,LOC_014,7,20,2,3,1,GROUP_28,1,2,0,0,1,4,5,0
0,1,2,LOC_043,1,3,3,2,1,GROUP_20,14,1,1,0,0,2,5,0
4,0,2,LOC_007,0,30,3,1,1,GROUP_02,14,0,1,0,0,1,4,0
0,0,2,LOC_014,1,4,2,3,1,GROUP_29,23,0,0,0,1,3,5,0
1,0,4,LOC_047,3,15,3,2,2,Unassigned,13,4,1,0,0,4,5,0
1,0,1,LOC_030,1,4,3,3,1,GROUP_10,15,3,1,0,0,2,6,0
1,0,3,Unknown,2,2,3,2,1,GROUP_10,21,5,0,1,1,1,5,0
1,0,3,LOC_015,4,8,3,3,3,Unassigned,20,6,0,1,1,3,6,0
0,0,2,Unknown,6,0,2,3,2,GROUP_15,17,6,0,1,0,2,5,0
2,0,3,LOC_049,0,19,2,1,3,GROUP_10,13,2,1,0,0,3,3,0
0,0,3,LOC_040,2,17,3,3,2,GROUP_10,4,1,0,0,1,3,6,0
2,0,3,LOC_034,7,10,2,3,1,GROUP_10,23,4,0,0,1,1,5,0
0,0,1,LOC_007,2,27,2,2,1,GROUP_28,8,4,0,0,0,1,4,0
1,0,2,LOC_050,6,22,2,2,1,GROUP_19,11,1,1,0,0,3,4,0
0,0,2,Unknown,4,5,2,2,1,GROUP_23,7,1,0,0,1,1,4,0
1,0,2,LOC_014,6,0,2,2,1,GROUP_18,5,3,0,0,1,1,4,0
1,0,2,LOC_001,4,29,2,3,2,GROUP_07,23,5,0,1,1,3,5,0
2,0,2,LOC_001,3,15,2,3,2,Unassigned,4,4,0,0,1,3,5,0
0,0,4,LOC_001,1,4,2,2,2,GROUP_28,11,4,1,0,0,3,4,0
3,0,1,LOC_011,1,24,2,3,2,GROUP_23,3,1,0,0,1,3,5,0
1,0,2,LOC_010,7,20,3,3,2,GROUP_02,17,1,0,0,0,1,6,0
0,0,2,LOC_033,7,10,3,3,1,GROUP_01,1,3,0,0,1,3,6,0
1,0,3,LOC_046,7,10,3,3,2,GROUP_23,23,4,0,0,1,2,6,0
0,0,2,LOC_025,4,29,3,3,2,GROUP_01,0,4,0,0,1,1,6,0
0,0,1,LOC_047,0,30,3,3,1,GROUP_20,16,2,1,0,0,2,6,0
1,0,3,LOC_021,7,6,3,3,1,GROUP_11,16,3,1,0,0,1,6,0
1,0,0,LOC_042,2,27,3,3,2,GROUP_25,7,6,0,1,1,3,6,0
1,0,1,LOC_019,1,3,3,3,1,GROUP_26,17,3,0,0,0,1,6,0
0,0,1,Unknown,1,3,3,3,2,GROUP_12,21,4,0,0,1,1,6,0
0,0,4,LOC_013,2,2,3,3,1,GROUP_29,13,6,0,1,0,2,6,0
1,0,4,Unknown,1,26,2,3,1,GROUP_19,7,5,0,1,1,1,5,0
0,0,4,LOC_027,5,9,3,1,3,GROUP_08,16,0,1,0,0,3,4,0
2,0,3,LOC_024,4,8,2,3,2,GROUP_17,13,2,1,0,0,1,5,0
0,0,2,LOC_020,6,0,3,3,2,GROUP_28,0,0,0,0,1,3,6,0
1,0,2,LOC_036,4,29,3,3,1,GROUP_25,2,1,0,0,1,3,6,0
1,1,1,LOC_022,4,7,2,3,1,GROUP_10,2,1,0,0,1,1,5,0
0,0,1,LOC_006,1,24,2,3,1,GROUP_16,13,4,1,0,0,3,5,0
0,0,3,LOC_043,6,0,3,2,2,GROUP_19,7,1,0,0,1,2,5,0
4,0,2,LOC_047,1,4,2,2,1,GROUP_07,11,2,1,0,0,2,4,0
0,0,3,LOC_002,2,16,2,2,1,GROUP_16,9,0,1,0,0,1,4,0
0,0,2,LOC_038,7,6,3,3,1,GROUP_15,23,5,0,1,1,3,6,0
0,0,1,LOC_023,4,8,3,3,1,GROUP_12,4,1,0,0,1,3,6,0
0,0,3,Unknown,1,26,2,3,2,GROUP_28,23,2,0,0,1,4,5,0
1,0,0,Unknown,4,29,3,3,1,GROUP_11,11,6,0,1,0,3,6,0
0,0,2,LOC_045,4,7,3,3,3,GROUP_29,7,4,0,0,1,3,6,0
1,0,2,Unknown,4,5,3,3,1,GROUP_12,4,4,0,0,1,2,6,0
3,1,3,LOC_038,4,29,2,1,1,GROUP_13,19,6,0,1,1,2,3,1
1,0,1,LOC_011,1,3,3,1,2,GROUP_10,10,5,0,1,0,4,4,0
0,1,1,Unknown,0,21,3,1,1,GROUP_16,4,2,0,0,1,2,4,0
2,0,2,Unknown,4,8,3,3,1,GROUP_27,15,3,1,0,0,2,6,0
3,0,0,LOC_031,3,25,3,3,1,GROUP_13,0,6,0,1,1,4,6,0
0,0,2,LOC_034,2,27,1,3,1,GROUP_05,5,3,0,0,1,1,4,0
1,0,3,Unknown,7,20,3,2,2,GROUP_08,21,5,0,1,1,4,5,0
0,0,2,LOC_014,7,12,2,1,2,GROUP_08,9,1,1,0,0,2,3,0
0,0,2,LOC_033,2,2,3,3,1,GROUP_16,23,6,0,1,1,3,6,0
0,0,1,LOC_047,2,27,2,2,1,GROUP_16,10,2,1,0,0,1,4,0
0,0,3,LOC_021,2,17,3,3,1,GROUP_26,20,3,0,0,1,3,6,0
2,0,1,LOC_040,2,17,2,1,2,GROUP_20,5,5,0,1,1,3,3,0
1,0,4,LOC_014,7,10,3,1,2,GROUP_13,12,5,0,1,0,4,4,0
0,0,2,LOC_031,4,8,3,1,2,GROUP_25,23,6,0,1,1,1,4,0
0,0,2,LOC_007,3,23,3,2,1,GROUP_10,10,6,0,1,0,4,5,0
0,1,2,LOC_015,7,20,3,2,2,GROUP_19,17,6,0,1,0,2,5,0
7,0,2,LOC_041,2,2,2,2,1,GROUP_19,8,4,0,0,0,4,4,0
0,0,1,Unknown,7,6,3,3,3,GROUP_20,5,0,0,0,1,4,6,0
2,1,2,LOC_008,3,15,1,1,2,GROUP_25,17,1,0,0,0,2,2,1
0,0,2,LOC_031,6,22,3,3,2,GROUP_23,13,1,1,0,0,4,6,0
0,0,3,LOC_003,3,25,3,3,1,GROUP_21,15,6,0,1,0,2,6,0
4,0,1,LOC_015,7,10,3,3,2,GROUP_26,0,1,0,0,1,2,6,0
1,0,4,LOC_042,7,6,2,3,2,GROUP_25,22,3,0,0,1,1,5,0
0,0,0,LOC_028,3,25,2,2,2,GROUP_02,11,1,1,0,0,2,4,0
0,0,2,Unknown,2,2,3,2,2,GROUP_28,15,4,1,0,0,1,5,0
1,0,1,LOC_019,7,10,2,3,2,GROUP_12,7,2,0,0,1,2,5,0
0,0,3,Unknown,4,29,2,1,2,Unassigned,19,1,0,0,1,3,3,0
0,0,1,LOC_050,2,2,3,1,1,GROUP_26,21,4,0,0,1,2,4,0
0,0,2,Unknown,6,0,3,2,1,GROUP_12,15,2,1,0,0,4,5,0
0,1,2,LOC_034,3,25,3,3,1,GROUP_23,6,0,0,0,1,1,6,0
2,0,3,LOC_010,7,10,3,2,1,GROUP_13,17,4,0,0,0,2,5,0
3,0,2,LOC_046,2,27,3,3,2,GROUP_23,7,6,0,1,1,2,6,0
0,1,4,LOC_050,7,10,2,3,1,GROUP_23,18,0,0,0,1,4,5,0
2,0,3,LOC_039,1,26,3,2,2,GROUP_20,2,6,0,1,1,4,5,0
0,0,2,Unknown,2,27,3,1,1,Unassigned,4,1,0,0,1,2,4,0
0,0,1,LOC_004,0,1,3,3,2,GROUP_15,20,6,0,1,1,2,6,0
2,0,3,LOC_036,2,17,3,3,2,GROUP_14,11,0,1,0,0,4,6,0
2,0,2,LOC_035,7,12,3,2,1,GROUP_21,15,2,1,0,0,2,5,0
5,0,1,LOC_004,3,25,2,1,2,GROUP_11,10,6,0,1,0,1,3,0
0,0,3,Unknown,7,6,2,3,2,GROUP_20,23,3,0,0,1,2,5,0
0,0,3,Unknown,1,26,2,3,2,GROUP_10,13,1,1,0,0,3,5,0
6,0,3,LOC_012,6,0,3,3,2,GROUP_06,1,4,0,0,1,1,6,0
2,0,1,Unknown,4,29,2,3,2,GROUP_11,12,3,1,0,0,1,5,0
0,0,2,LOC_002,5,18,3,3,1,GROUP_03,7,5,0,1,1,3,6,0
0,0,2,LOC_039,0,30,2,2,1,GROUP_27,20,3,0,0,1,4,4,0
0,0,2,LOC_007,3,23,3,3,2,GROUP_17,21,6,0,1,1,3,6,0
2,0,3,Unknown,2,16,1,3,1,GROUP_16,9,1,1,0,0,1,4,0
1,2,1,Unknown,7,12,2,2,1,GROUP_13,9,4,1,0,0,2,4,0
1,0,3,LOC_041,1,26,3,3,1,GROUP_12,7,2,0,0,1,4,6,0
0,0,0,LOC_048,4,8,3,1,3,GROUP_11,14,0,1,0,0,4,4,0
0,0,2,Unknown,4,8,3,3,2,GROUP_20,10,2,1,0,0,1,6,0
1,0,3,Unknown,0,1,3,3,2,Unassigned,21,3,0,0,1,3,6,0
1,0,3,LOC_045,0,30,3,3,1,GROUP_16,20,2,0,0,1,2,6,0
0,0,2,LOC_034,0,1,3,2,1,GROUP_08,5,0,0,0,1,4,5,0
3,0,2,LOC_030,3,25,1,1,1,GROUP_01,17,3,0,0,0,2,2,0
0,0,1,LOC_021,0,19,3,3,1,GROUP_15,10,2,1,0,0,1,6,0
0,0,2,LOC_003,1,4,3,3,1,GROUP_11,22,1,0,0,1,2,6,0
0,0,3,LOC_005,4,8,3,2,1,Unassigned,13,6,0,1,0,4,5,0
1,0,1,LOC_021,2,16,2,1,2,GROUP_17,2,5,0,1,1,4,3,0
0,0,0,LOC_025,3,11,3,2,2,GROUP_15,9,5,0,1,0,3,5,0
0,0,2,LOC_013,0,21,3,3,2,GROUP_02,10,2,1,0,0,4,6,0
0,0,3,LOC_043,3,25,3,2,2,GROUP_09,5,2,0,0,1,2,5,0
0,0,1,Unknown,7,6,3,2,1,GROUP_15,10,3,1,0,0,3,5,0
0,0,2,LOC_031,2,17,1,2,2,GROUP_13,7,2,0,0,1,4,3,0
1,0,1,Unknown,2,27,2,3,2,GROUP_02,23,0,0,0,1,4,5,0
0,0,1,LOC_029,1,26,3,3,1,GROUP_24,18,1,0,0,1,4,6,0
1,0,4,LOC_001,2,2,3,3,1,GROUP_21,6,3,0,0,1,3,6,0
0,0,2,LOC_017,7,12,3,3,1,GROUP_22,6,6,0,1,1,4,6,0
0,0,1,LOC_040,7,12,3,1,1,GROUP_27,5,1,0,0,1,1,4,0
0,0,1,LOC_005,1,24,3,3,3,GROUP_10,19,6,0,1,1,2,6,0
0,0,1,LOC_024,6,22,3,2,1,GROUP_07,18,2,0,0,1,3,5,0
0,0,1,LOC_039,0,21,3,1,3,GROUP_16,10,6,0,1,0,1,4,0
1,0,3,LOC_039,7,12,3,2,1,GROUP_06,3,6,0,1,1,4,5,0
0,0,2,LOC_021,2,16,3,2,1,GROUP_20,1,5,0,1,1,4,5,0
0,0,1,LOC_015,7,10,3,2,1,GROUP_05,4,2,0,0,1,3,5,0
0,0,1,LOC_014,3,23,2,2,1,GROUP_12,4,3,0,0,1,3,4,0
1,0,1,Unknown,2,27,3,3,1,Unassigned,12,6,0,1,0,4,6,0
2,0,1,LOC_020,4,29,2,3,1,GROUP_26,23,6,0,1,1,2,5,0
1,0,1,LOC_038,5,14,3,2,2,GROUP_27,0,0,0,0,1,3,5,0
0,0,3,LOC_046,0,1,3,2,1,GROUP_06,1,4,0,0,1,3,5,0
0,0,2,LOC_005,7,10,3,1,1,GROUP_13,3,4,0,0,1,3,4,0
0,0,2,LOC_005,5,18,3,3,2,GROUP_21,20,6,0,1,1,4,6,0
0,0,2,LOC_005,4,7,2,2,1,GROUP_02,3,0,0,0,1,4,4,0
0,1,3,LOC_030,2,17,2,3,1,GROUP_17,20,6,0,1,1,1,5,0
0,0,0,LOC_029,4,7,3,3,1,GROUP_12,19,4,0,0,1,1,6,0
1,0,2,LOC_021,7,10,3,3,3,GROUP_01,18,2,0,0,1,2,6,0
2,0,0,LOC_032,0,19,2,3,2,GROUP_09,0,0,0,0,1,2,5,0
0,0,2,LOC_008,6,31,3,2,2,GROUP_12,19,2,0,0,1,3,5,0
0,0,1,LOC_031,6,0,2,3,1,GROUP_17,1,5,0,1,1,2,5,0
2,0,1,LOC_028,4,29,1,3,3,GROUP_06,6,2,0,0,1,2,4,0
2,0,3,LOC_022,3,11,2,2,2,GROUP_05,23,2,0,0,1,4,4,0
0,1,2,LOC_026,4,5,2,3,3,GROUP_14,3,5,0,1,1,4,5,0
2,0,3,LOC_027,7,10,3,3,1,GROUP_06,7,1,0,0,1,4,6,0
0,0,4,LOC_031,3,11,2,2,1,GROUP_23,11,1,1,0,0,1,4,0
0,0,2,LOC_024,4,8,3,3,1,GROUP_23,0,4,0,0,1,2,6,0
2,1,2,LOC_020,7,6,2,2,2,GROUP_29,0,5,0,1,1,3,4,1
0,0,2,LOC_024,4,29,3,3,2,GROUP_25,1,5,0,1,1,3,6,0
1,0,0,LOC_042,7,6,3,2,2,GROUP_21,3,1,0,0,1,2,5,0
2,0,3,LOC_029,3,23,3,2,2,GROUP_24,7,2,0,0,1,2,5,0
0,0,2,LOC_020,7,12,1,3,1,GROUP_26,21,0,0,0,1,2,4,0
3,0,2,LOC_032,1,26,3,1,1,GROUP_23,18,0,0,0,1,4,4,0
2,0,2,Unknown,2,2,3,3,1,GROUP_19,14,6,0,1,0,2,6,0
0,0,4,LOC_014,7,12,2,3,2,GROUP_19,8,5,0,1,0,3,5,0
0,0,2,LOC_016,7,6,2,3,2,GROUP_11,9,3,1,0,0,4,5,0
2,0,3,LOC_007,0,21,3,1,2,GROUP_26,11,4,1,0,0,3,4,0
0,0,3,LOC_031,3,25,2,3,1,GROUP_24,14,6,0,1,0,1,5,0
2,0,3,LOC_019,3,25,3,2,2,GROUP_23,16,6,0,1,0,1,5,0
0,0,1,LOC_044,5,9,3,3,1,GROUP_28,9,4,1,0,0,1,6,0
0,1,1,LOC_031,1,26,2,2,1,GROUP_16,17,0,0,0,0,2,4,0
0,0,1,LOC_020,2,17,3,1,2,GROUP_14,15,5,0,1,0,2,4,0
1,1,1,LOC_033,1,3,3,1,3,GROUP_15,4,0,0,0,1,2,4,0
0,0,3,LOC_011,3,25,3,2,1,GROUP_17,21,1,0,0,1,1,5,0
0,0,1,LOC_018,2,16,3,2,2,GROUP_11,15,4,1,0,0,1,5,0
0,0,1,Unknown,1,4,3,3,2,GROUP_28,2,4,0,0,1,3,6,0
0,1,4,LOC_038,2,16,1,3,1,GROUP_01,20,5,0,1,1,2,4,0
0,0,1,LOC_004,7,20,2,3,1,GROUP_29,5,4,0,0,1,3,5,0
1,0,1,LOC_009,6,13,1,3,2,GROUP_16,20,4,0,0,1,4,4,0
0,0,2,LOC_038,5,18,2,3,1,GROUP_18,4,5,0,1,1,1,5,0
0,0,2,LOC_021,0,1,1,3,2,Unassigned,18,2,0,0,1,1,4,0
1,0,1,LOC_049,7,6,2,3,1,GROUP_29,0,4,0,0,1,2,5,0
0,0,1,LOC_008,7,6,3,2,2,GROUP_02,14,0,1,0,0,1,5,0
0,0,2,LOC_002,1,4,3,3,1,GROUP_21,23,3,0,0,1,3,6,0
2,1,1,LOC_020,0,30,3,1,1,GROUP_01,5,1,0,0,1,2,4,1
1,1,4,LOC_015,5,14,3,3,2,GROUP_06,11,6,0,1,0,1,6,0
0,1,3,LOC_042,4,5,3,2,1,GROUP_20,6,6,0,1,1,3,5,0
1,0,3,LOC_037,2,17,3,2,1,GROUP_22,12,5,0,1,0,1,5,0
1,0,2,LOC_032,7,20,3,1,1,GROUP_13,3,2,0,0,1,3,4,0
1,0,3,Unknown,1,3,3,1,1,GROUP_29,7,4,0,0,1,2,4,0
0,0,3,LOC_032,1,3,3,2,2,GROUP_25,8,1,0,0,0,4,5,0
1,0,2,LOC_005,2,2,3,2,2,GROUP_17,10,3,1,0,0,2,5,0
1,0,2,LOC_021,4,29,3,1,1,GROUP_06,19,0,0,0,1,3,4,0
0,0,3,LOC_045,7,10,3,2,1,GROUP_27,2,3,0,0,1,4,5,0
0,0,2,LOC_043,0,1,3,3,2,GROUP_07,11,1,1,0,0,4,6,0
0,0,1,LOC_035,4,5,2,3,2,GROUP_15,2,1,0,0,1,1,5,0
1,0,0,LOC_043,1,3,3,2,1,Unassigned,14,5,0,1,0,2,5,0
1,1,2,LOC_037,6,22,3,3,2,GROUP_22,3,3,0,0,1,4,6,0
0,0,1,LOC_020,7,12,3,3,2,GROUP_19,20,2,0,0,1,4,6,0
2,0,3,LOC_026,1,4,3,1,1,GROUP_09,17,0,0,0,0,4,4,0
0,0,4,LOC_033,0,1,2,2,2,GROUP_27,15,4,1,0,0,1,4,0
1,0,0,LOC_041,7,12,2,3,1,Unassigned,14,1,1,0,0,2,5,0
0,0,3,LOC_019,0,1,3,3,1,GROUP_11,1,6,0,1,1,1,6,0
1,0,2,LOC_023,4,7,2,3,1,GROUP_06,0,0,0,0,1,1,5,0
1,0,1,LOC_025,6,31,3,2,3,GROUP_25,19,2,0,0,1,4,5,0
2,0,2,Unknown,2,2,3,3,2,GROUP_12,19,3,0,0,1,3,6,0
0,0,1,LOC_020,7,10,3,3,3,GROUP_23,9,1,1,0,0,3,6,0
0,0,3,LOC_003,1,24,2,3,1,GROUP_25,10,6,0,1,0,4,5,0
0,0,2,LOC_029,1,24,2,2,1,GROUP_26,18,5,0,1,1,4,4,0
0,0,2,Unknown,4,29,3,3,1,GROUP_14,17,5,0,1,0,2,6,0
1,0,2,LOC_012,4,29,2,3,2,GROUP_11,17,5,0,1,0,3,5,0
2,1,3,LOC_039,1,4,3,2,2,GROUP_07,16,5,0,1,0,4,5,1
0,0,1,LOC_036,4,5,3,3,1,GROUP_15,6,1,0,0,1,4,6,0
1,0,3,LOC_034,2,17,3,2,1,GROUP_26,10,6,0,1,0,4,5,0
0,0,3,LOC_039,7,10,3,2,1,GROUP_02,6,5,0,1,1,3,5,0
0,0,0,LOC_001,4,29,3,1,2,GROUP_16,13,1,1,0,0,2,4,0
1,0,3,LOC_033,2,17,3,3,2,Unassigned,11,2,1,0,0,2,6,0
2,0,3,LOC_048,0,1,3,2,2,Unassigned,6,1,0,0,1,1,5,0
0,1,2,Unknown,2,17,3,3,1,GROUP_04,16,2,1,0,0,3,6,0
0,0,1,LOC_049,2,27,3,1,1,GROUP_17,9,6,0,1,0,2,4,0
1,0,1,LOC_044,2,17,3,3,2,GROUP_26,16,2,1,0,0,3,6,0
0,0,2,LOC_009,7,6,2,2,2,Unassigned,6,0,0,0,1,4,4,0
0,0,3,LOC_002,3,11,3,1,1,GROUP_02,15,6,0,1,0,2,4,0
4,0,2,LOC_031,2,17,2,2,3,GROUP_13,3,0,0,0,1,1,4,0
0,0,2,LOC_048,7,20,3,3,2,GROUP_27,6,0,0,0,1,1,6,0
0,0,2,LOC_029,0,30,3,1,1,GROUP_02,14,6,0,1,0,4,4,0
1,0,3,LOC_043,7,10,2,2,2,GROUP_03,13,1,1,0,0,3,4,0
3,0,2,LOC_040,3,23,1,3,2,GROUP_03,4,4,0,0,1,1,4,0
3,0,1,LOC_004,7,12,2,3,2,GROUP_12,16,3,1,0,0,3,5,0
0,0,3,LOC_045,7,6,2,3,1,GROUP_04,13,5,0,1,0,1,5,0
0,0,4,LOC_039,0,19,2,3,2,GROUP_12,23,6,0,1,1,4,5,0
0,0,2,LOC_040,0,1,3,3,1,GROUP_02,9,3,1,0,0,3,6,0
3,0,2,LOC_028,7,10,2,1,1,GROUP_10,14,0,1,0,0,4,3,0
2,0,2,LOC_002,7,20,2,1,1,GROUP_18,4,6,0,1,1,3,3,0
0,1,0,LOC_014,0,21,3,3,1,GROUP_01,14,2,1,0,0,4,6,0
2,0,4,LOC_025,0,21,3,3,1,GROUP_26,22,4,0,0,1,2,6,0
1,0,1,LOC_029,0,19,3,2,1,GROUP_20,18,3,0,0,1,2,5,0
1,0,3,LOC_036,4,29,3,3,2,GROUP_02,6,2,0,0,1,4,6,0
1,0,2,LOC_040,0,30,3,2,2,GROUP_26,16,6,0,1,0,4,5,0
0,0,2,LOC_016,2,17,3,3,1,GROUP_08,13,6,0,1,0,2,6,0
1,1,1,LOC_015,7,12,3,3,1,GROUP_11,5,1,0,0,1,2,6,0
0,0,2,LOC_043,4,8,3,2,1,GROUP_20,10,0,1,0,0,1,5,0
0,0,3,LOC_008,0,1,3,2,2,GROUP_17,5,5,0,1,1,4,5,0
4,1,2,LOC_010,0,1,3,1,2,GROUP_20,14,1,1,0,0,1,4,1
0,1,3,LOC_019,6,22,2,1,1,GROUP_09,16,6,0,1,0,1,3,0
1,1,3,Unknown,4,29,2,3,2,GROUP_10,0,5,0,1,1,2,5,0
1,0,3,Unknown,4,29,3,2,1,Unassigned,16,5,0,1,0,4,5,0
1,0,1,LOC_019,3,11,3,3,1,GROUP_02,10,3,1,0,0,3,6,0
0,0,1,LOC_043,7,10,3,3,2,GROUP_11,18,1,0,0,1,2,6,0
1,0,3,LOC_042,0,30,2,2,1,GROUP_21,21,4,0,0,1,3,4,0
4,0,1,LOC_013,3,25,2,2,1,GROUP_13,3,2,0,0,1,4,4,0
0,0,2,LOC_040,4,7,3,1,1,Unassigned,4,2,0,0,1,2,4,0
0,0,0,LOC_009,7,6,2,3,1,GROUP_08,17,1,0,0,0,2,5,0
0,0,2,LOC_015,2,17,3,3,1,GROUP_05,13,3,1,0,0,2,6,0
0,0,1,LOC_050,4,8,3,3,2,GROUP_04,10,1,1,0,0,1,6,0
1,0,3,Unknown,0,1,3,2,1,GROUP_08,5,6,0,1,1,2,5,0
1,0,2,LOC_022,1,4,2,3,2,GROUP_18,14,0,1,0,0,2,5,0
0,0,2,LOC_015,7,20,3,2,1,GROUP_07,23,5,0,1,1,4,5,0
0,0,2,Unknown,2,27,3,2,1,GROUP_17,4,3,0,0,1,4,5,0
1,0,3,LOC_048,0,30,3,3,1,GROUP_01,21,6,0,1,1,1,6,0
0,0,1,Unknown,1,26,3,1,1,GROUP_04,5,5,0,1,1,4,4,0
1,0,2,LOC_023,7,20,3,3,1,GROUP_23,19,5,0,1,1,1,6,0
3,0,1,LOC_025,2,27,3,3,2,GROUP_10,3,4,0,0,1,1,6,0
0,0,2,LOC_016,2,17,3,3,2,GROUP_07,19,2,0,0,1,3,6,0
0,0,2,Unknown,2,27,3,3,3,GROUP_05,11,1,1,0,0,4,6,0
0,0,2,LOC_036,7,10,3,3,1,GROUP_10,20,0,0,0,1,3,6,0
0,0,2,LOC_046,0,30,3,1,1,GROUP_19,12,2,1,0,0,1,4,0
2,0,2,LOC_048,4,29,1,3,1,GROUP_05,22,1,0,0,1,4,4,0
1,1,2,LOC_029,5,28,3,3,2,GROUP_29,18,1,0,0,1,2,6,0
0,0,2,LOC_032,7,6,2,3,1,GROUP_21,11,3,1,0,0,3,5,0
1,0,1,LOC_016,2,2,2,3,2,GROUP_03,21,0,0,0,1,4,5,0
0,0,1,Unknown,5,18,2,2,1,GROUP_16,6,1,0,0,1,2,4,0
3,3,0,Unknown,7,20,2,1,3,GROUP_28,8,4,0,0,0,3,3,1
0,1,2,LOC_040,0,19,3,3,1,GROUP_27,22,1,0,0,1,4,6,0
1,1,0,LOC_015,7,12,1,3,2,GROUP_03,0,4,0,0,1,1,4,0
0,0,1,Unknown,7,6,1,3,2,GROUP_18,11,0,1,0,0,4,4,0
1,1,3,LOC_001,7,12,1,3,3,GROUP_20,12,2,1,0,0,3,4,0
2,0,1,LOC_034,4,7,3,2,2,GROUP_21,5,1,0,0,1,2,5,0
0,0,2,LOC_033,1,26,3,3,1,GROUP_17,4,3,0,0,1,3,6,0
2,0,1,Unknown,6,22,3,3,1,GROUP_10,8,1,0,0,0,2,6,0
1,0,1,LOC_049,0,19,3,2,1,GROUP_18,3,3,0,0,1,1,5,0
1,0,2,Unknown,4,5,3,3,2,GROUP_11,3,4,0,0,1,1,6,0
